<<<<<<< HEAD
﻿Полное наименование показателя;Краткое наименование показателя;Категория;Основание установления целевого показателя;Тематика;Статистические/динамические;Отдел;Управление
Доступность контактного центра при правительстве Тульской области;Доступность КЦ, %;Государственное задание;Государственное задание;Все;Динамические;Управление дистанционного обслуживания;Контактный центр
Уровень удовлетворенности граждан обслуживанием в контактном центре при правительстве Тульской области;Уровень удовлетворенности граждан, %;Государственное задание;Государственное задание;Все;Динамические;Управление дистанционного обслуживания;Контактный центр
Количество обращений;Количество принятых звонков, шт./год ;Государственное задание;Государственное задание;Все;Динамические;Управление дистанционного обслуживания;Контактный центр
Загруженность работников контактного центра;Загруженность работников КЦ (будние дни с 08:00 до 20:00), %;Государственное задание;Государственное задание;Все;Динамические;Управление дистанционного обслуживания;Контактный центр
SL КЦ ТДГ, %;SL КЦ ТДГ, %;Государственное задание;Государственное задание;Все;Динамические;Управление дистанционного обслуживания;Контактный центр
Количество автоматизированных рабочих мест, на которых выполняются функции администраторов безопасности;Исполнение функций АБ, АРМ;Государственное задание;Государственное задание;Информационная безопасность;Статистические ;Группа информационной безопасности;Управление информационной безопасности
Количество ИС обеспечения типовой деятельности по информационной безопасности;Аттестация по требованиям ИБ;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Отдел аттестации информационных систем;Управление информационной безопасности
Количество объектов информатизации, в соответствии с Законом Российской Федерации от 21 июля 1993 года № 5485-1 «О государственной тайне»;Контроль эффективности по ГТ. СП и СИ выделенных помещений;Государственное задание;Государственное задание;Информационная безопасность;Статистические ;Отдел аттестации информационных систем;Управление информационной безопасности
Количество выданных квалифицированных сертификатов ключей проверки электронной подписи;Количество выданных сертификатов ЭП;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Отдел «Удостоверяющий центр»;Управление информационной безопасности
Объем приобретенных СЗИ в введенных в эксплуатацию в ПУ ТО;Антивирусное ПО;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем информационной безопасности;Управление информационной безопасности
Объем приобретенных СЗИ в введенных в эксплуатацию в ПУ ТО;Средства защиты от НСД;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем информационной безопасности;Управление информационной безопасности
Объем приобретенных СЗИ и введенных в эксплуатацию в ГУЗ;Антивирусное ПО;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем информационной безопасности;Управление информационной безопасности
Объем приобретенных СЗИ и введенных в эксплуатацию в ГУЗ;Средства защиты от НСД;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем информационной безопасности;Управление информационной безопасности
Объем приобретенных СЗИ и введенных в эксплуатацию в ПТО (ОИВ, ЦОД и ряд ПУ);Антивирусное ПО;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем информационной безопасности;Управление информационной безопасности
Объем приобретенных СЗИ и введенных в эксплуатацию в ПТО (ОИВ, ЦОД и ряд ПУ);Средства защиты от НСД;Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем информационной безопасности;Управление информационной безопасности
Объем приобретенных и введенных в эксплуатацию лицензий ViPNet Client в зданиях ПТО (№2482);ПАК ViPNet Coordinator (ПТО);Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем защиты сетей передачи данных;Управление информационной безопасности
Объем приобретенных и введенных в эксплуатацию лицензий ViPNet Client для сети ViPNet МИС (№2756);Лицензии ViPNet Client (МИС);Государственное задание;Государственное задание;Информационная безопасность;Динамические;Отдел «Удостоверяющий центр»;Управление информационной безопасности
Объем приобретенных и введенных в эксплуатацию лицензий ViPNet Client для сети ViPNet ПТО (№2482);Лицензии ViPNet Client (ПТО);Государственное задание;Государственное задание;Информационная безопасность;Динамические;Отдел «Удостоверяющий центр»;Управление информационной безопасности
Объем приобретенных и введенных в эксплуатацию лицензий ViPNet Coordinator в зданиях ГУЗ (№2756);ПАК ViPNet Coordinator (ПУ);Государственное задание;Государственное задание;Информационная безопасность;Динамические;Группа администрирования систем защиты сетей передачи данных;Управление информационной безопасности
